file,title,url
"404.html","Page not found | Eye Trends Vision & Glasses Center","https://markdispenza.github.io/eye-trends/404.html"
"accessibility.html","Accessibility Statement - Eye Trends Vision & Glasses Center, TX","https://markdispenza.github.io/eye-trends/accessibility.html"
"adult-eye-exams.html","Adult Eye Exams in Clear Lake | Eye Trends","https://markdispenza.github.io/eye-trends/adult-eye-exams.html"
"all-pages.html","All pages | Eye Trends preview index","https://markdispenza.github.io/eye-trends/all-pages.html"
"back-to-school-eye-exams.html","Back-to-School Eye Exam Clear Lake - Saturday Hours","https://markdispenza.github.io/eye-trends/back-to-school-eye-exams.html"
"book-appointment.html","Book an Eye Exam in Clear Lake - Appointment with Dr. Jerry Hyder","https://markdispenza.github.io/eye-trends/book-appointment.html"
"cataract-co-management.html","Cataract Co-Management in Clear Lake | Eye Trends","https://markdispenza.github.io/eye-trends/cataract-co-management.html"
"childrens-contact-lenses.html","Kids Contact Lenses in Clear Lake | Eye Trends Vision & Glasses Center","https://markdispenza.github.io/eye-trends/childrens-contact-lenses.html"
"childrens-eye-care.html","Children's Eye Care in Clear Lake | Eye Trends","https://markdispenza.github.io/eye-trends/childrens-eye-care.html"
"comprehensive-eye-exams.html","Comprehensive Eye Exams in Clear Lake | Eye Trends","https://markdispenza.github.io/eye-trends/comprehensive-eye-exams.html"
"contact-lens-exams.html","Contact Lens Exams and Fittings in Clear Lake - Dr. Jerry Hyder, OD","https://markdispenza.github.io/eye-trends/contact-lens-exams.html"
"contact-lenses.html","Contact Lenses in Clear Lake | Fittings & Reorders | Eye Trends","https://markdispenza.github.io/eye-trends/contact-lenses.html"
"contact.html","Contact & Hours - Eye Trends Vision & Glasses Center","https://markdispenza.github.io/eye-trends/contact.html"
"designer-frames.html","Designer Frames in Clear Lake, Houston | Eye Trends","https://markdispenza.github.io/eye-trends/designer-frames.html"
"diabetic-eye-exams.html","Diabetic Eye Exams in Clear Lake, Houston | Eye Trends","https://markdispenza.github.io/eye-trends/diabetic-eye-exams.html"
"disclaimer.html","Disclaimer - Eye Trends Vision & Glasses Center, TX","https://markdispenza.github.io/eye-trends/disclaimer.html"
"dry-eye-treatment.html","Dry Eye Treatment in Clear Lake, Houston | Eye Trends","https://markdispenza.github.io/eye-trends/dry-eye-treatment.html"
"emergency-eye-care.html","Emergency Eye Care in Clear Lake - Dr. Jerry Hyder, OD","https://markdispenza.github.io/eye-trends/emergency-eye-care.html"
"eye-health.html","Eye Health Library in Clear Lake | Eye Trends","https://markdispenza.github.io/eye-trends/eye-health.html"
"eyewear.html","Eyewear and Designer Frames in Clear Lake | Eye Trends","https://markdispenza.github.io/eye-trends/eyewear.html"
"flashes-floaters.html","Flashes & Floaters Clear Lake - Urgent Retina Check","https://markdispenza.github.io/eye-trends/flashes-floaters.html"
"foreign-body-removal.html","Foreign Body Removal in Clear Lake - Same-Day Eye Injury Care","https://markdispenza.github.io/eye-trends/foreign-body-removal.html"
"gas-permeable-contacts.html","Gas-Permeable (GP) Rigid Contacts in Clear Lake | Eye Trends","https://markdispenza.github.io/eye-trends/gas-permeable-contacts.html"
"glaucoma-management.html","Glaucoma Testing & Management - Clear Lake, Houston","https://markdispenza.github.io/eye-trends/glaucoma-management.html"
"index.html","Eye Doctor Clear Lake | Eye Trends Vision & Glasses Center","https://markdispenza.github.io/eye-trends/"
"insurance.html","Insurance & Payment - Eye Trends Vision & Glasses Center","https://markdispenza.github.io/eye-trends/insurance.html"
"kids-eyewear.html","Kids' Glasses & Children's Eyewear in Clear Lake | Eye Trends","https://markdispenza.github.io/eye-trends/kids-eyewear.html"
"lasik-co-management.html","LASIK Co-Management - Clear Lake Optometrist | Eye Trends","https://markdispenza.github.io/eye-trends/lasik-co-management.html"
"macular-degeneration.html","Macular Degeneration Care in Clear Lake | Eye Trends","https://markdispenza.github.io/eye-trends/macular-degeneration.html"
"medical-eye-care.html","Medical Eye Care in Clear Lake, Houston | Eye Trends","https://markdispenza.github.io/eye-trends/medical-eye-care.html"
"multifocal-contacts.html","Multifocal & Bifocal Contacts Clear Lake - See Near and Far","https://markdispenza.github.io/eye-trends/multifocal-contacts.html"
"myopia-management.html","Myopia Management in Clear Lake | Eye Trends Vision & Glasses Center","https://markdispenza.github.io/eye-trends/myopia-management.html"
"our-doctor.html","Meet Dr. Jerry Hyder, OD - Clear Lake Optometrist Since 1984","https://markdispenza.github.io/eye-trends/our-doctor.html"
"patient-forms.html","New Patient Forms - Eye Trends Vision & Glasses Center","https://markdispenza.github.io/eye-trends/patient-forms.html"
"pediatric-eye-exams.html","Pediatric Eye Exams in Clear Lake | Kids' Vision, Eye Trends","https://markdispenza.github.io/eye-trends/pediatric-eye-exams.html"
"pink-eye-conjunctivitis.html","Same-Day Pink Eye Treatment in Clear Lake | Eye Trends","https://markdispenza.github.io/eye-trends/pink-eye-conjunctivitis.html"
"privacy-policy.html","Privacy Policy - Eye Trends Vision & Glasses Center, TX","https://markdispenza.github.io/eye-trends/privacy-policy.html"
"red-eye-treatment.html","Red / Sore Eye Treatment - Clear Lake | Eye Trends","https://markdispenza.github.io/eye-trends/red-eye-treatment.html"
"reviews.html","Patient Reviews in Clear Lake - Eye Trends Vision & Glasses Center","https://markdispenza.github.io/eye-trends/reviews.html"
"same-day-contacts.html","Same-Day Contacts Clear Lake - Trial Lenses You Wear Home","https://markdispenza.github.io/eye-trends/same-day-contacts.html"
"senior-eye-exams.html","Senior Eye Exams in Clear Lake, Houston (65+, Medicare) | Eye Trends","https://markdispenza.github.io/eye-trends/senior-eye-exams.html"
"services.html","Eye Care Services in Clear Lake - Dr. Jerry Hyder, OD | Eye Trends","https://markdispenza.github.io/eye-trends/services.html"
"specialty-contacts.html","Specialty & Hard-to-Fit Contact Lenses in Clear Lake | Eye Trends","https://markdispenza.github.io/eye-trends/specialty-contacts.html"
"sunglasses.html","Sunglasses in Clear Lake - Designer and Prescription Shades","https://markdispenza.github.io/eye-trends/sunglasses.html"
"toric-contacts.html","Toric Contacts for Astigmatism Clear Lake - Fitted to Your Eyes","https://markdispenza.github.io/eye-trends/toric-contacts.html"
